Row   1: D | Which of the following forms of mercury is most
Row   2: A | Which of the following is used clinically as a chelating agent for acute iron poisoning?
Row   3: A | Which of the following statements regarding uranium toxicity is TRUE?
Row   4: C | Which of the following is TRUE about dichlorodiphenyltrichloroethane (DDT), dieldrin,
Row   5: C | Which of the following BEST explains the greater susceptibility of humans and non-human primates to 
Row   6: B | Which of the following is NOT TRUE for methylene chloride metabolism and toxicity?
Row   7: E | All of the following are essential metals EXCEPT
Row   8: A | Which of the following is cleared from extracellular fluid space by intravenous calcium disodium ede
Row   9: B | Chronic poisoning with which of the following metals causes peripheral neuropathy in adult humans bu
Row  10: D |  Which of the following mechanisms is shared by dichlorodiphenylethane (DDT) and chlordane?
Row  11: B | Which of the following is TRUE about dichlorodiphenyltrichloroethane (DDT) insecticides?
Row  12: B | A worker in a metal fabricating plant is grinding a metal and develops tremors, difficulty in walkin
Row  13: C | Which of the following is TRUE about the metabolism and toxicity of benzene?
Row  14: B | Which of the following is the initial adverse effect of a rattlesnake bite?
Row  15: B | Sodium nitrite is administered as an antidote for poisoning by which of the following gases?
Row  16: C | Which of the following is a specific pulmonary toxicant?
Row  17: D | Which of the following should be used to treat a symptomatic patient intoxicated by carbaryl within 
Row  18: B | Which activity of atropine is MOST important when treating organophosphate poisoning?
Row  19: D | Which of the following is NOT TRUE of pyrethrum?
Row  20: D | Which of the following is the MOST plausible mechanism of carcinogenicity of inhaled formaldehyde in
Row  21: C | Which of the following statements is TRUE regarding metallothioneins?
Row  22: A | Which of the following is responsible for tetrodotoxin poisoning?
Row  23: E | Silicosis is best described by which of the following?
Row  24: D | Which of the following drugs was NOT withdrawn from the market due to a drug-induced
Row  25: B | Which of the following is MOST predictive of how deeply a given gas will penetrate into the
Row  26: B | Which of the following forms of ionizing radiation would penetrate the least if the source is
Row  27: D | Which of the following cancers was associated with radium exposure in watch dial painters?
Row  28: B | Which of the following produces cardiovascular toxicity upon ingestion?
Row  29: A | What is the MOST COMMON toxic effect of ephedra alkaloids in high doses?
Row  30: D | Which of the following is the toxic principle in castor bean seeds?
Row  31: C | Sodium saccharin has been shown to induce bladder tumors
Row  32: C | Toxicity due to Amanita phalloides ingestion is associated with which organ system?
Row  33: D | Which of the following is TRUE of gammadiketone neurotoxicity?
Row  34: C | Which of the following agents is MOST LIKELY to lead to the formation of oxalic acid
